agent,phase,accuracy,answer_stability,correct_to_incorrect_flip_rate,incorrect_to_correct_flip_rate
M,base,0.8,,,
M,d1,0.8,1.0,0.0,0.0
M,d2,0.9,0.8,0.05,0.15
M,d3,0.9,1.0,0.0,0.0
M,d4,0.95,0.95,0.0,0.05
M,d5,0.95,1.0,0.0,0.0
P,base,0.0,,,
P,d1,0.6,0.0,0.0,0.6
P,d2,0.9,0.7,0.0,0.3
P,d3,0.75,0.85,0.15,0.0
P,d4,0.9,0.85,0.0,0.15
P,d5,0.8,0.9,0.1,0.0
Q,base,0.95,,,
Q,d1,0.85,0.9,0.1,0.0
Q,d2,1.0,0.85,0.0,0.15
Q,d3,0.95,0.95,0.05,0.0
Q,d4,0.85,0.8,0.15,0.05
Q,d5,0.9,0.95,0.0,0.05
